Title,Order,Date,High level instructions,Time,Status,Detailed Instructions,Trip,Image,Category
Airport Pickup,1,2026-02-27,"We will pick you up on your arrival day according to the details provided in your Pre-Departure Form. To confirm your specific pickup time and group, please check the ""View Details"" section below.",10:00:00,Planned,"<h4 class=""font_4""><strong>Airport Pickups &amp; Arrivals</strong></h4>
<p class=""font_8""><strong>February 27th, 2026 (GIG Airport)</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>08:20 AM |</strong> Elie S. Mutomb, Jacqueline Barraza, Ivan Barrueta, Jasmin Lopez, Glenn Goist.</p></li>
  <li><p class=""font_8""><strong>10:15 AM |</strong> Kristen Fernandez, Jonathan Pizano, Terry Winston, Dario Garcia.</p></li>
  <li><p class=""font_8""><strong>12:00 PM |</strong> Bernardo Ferreira, Daniel Tineo, DeVar Jones.</p></li>
  <li><p class=""font_8""><strong>02:30 PM |</strong> Isaiah Thomas Pihlstrom.</p></li>
</ul>
<p class=""font_8""><strong>February 28th, 2026 (GIG Airport)</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>10:55 AM |</strong> Tyler Gray.</p></li>
  <li><p class=""font_8""><strong>04:30 PM |</strong> Bailey Ethier, Abrahm Philip Coury.</p></li>
</ul>
<p class=""font_8""><strong>March 1st, 2026 (GIG Airport)</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>09:25 AM |</strong> Aaron Slater.</p></li>
</ul>",Ross26,"https://static.wixstatic.com/media/e340b3_ca732f1773e54c888606be94003cb864~mv2.jpg/v1/fill/w_1365,h_2048,al_c,q_90,enc_auto/PARROT%20TRIPS%202025_DIA%203-32%20(1).jpg",Logistics
Hotel Check in (Astoria Ipanema),2,2026-02-27,"Location
- Hotel: Astoria Ipanema Hotel
- Address: R. Visc. de Pirajá, 539 - Ipanema, Rio de Janeiro - RJ, 22410-003

Check-in Policy
- Standard Check-in: From 02:00 PM onwards.
- Early Arrivals: If you arrive before 02:00 PM and your room is not yet available for an early check-in, the hotel provides a secure luggage storage room.
- While You Wait: You are welcome to use the hotel’s common areas or explore the beautiful Ipanema neighborhood nearby while we get your room ready.

Breakfast Service
-Time: 06:00 AM – 10:00 AM (Ground Floor).
- Important Note: Seating is limited to 30 people at a time. We recommend arriving early during peak hours.",14:00:00,Planned,"<p class=""font_8"">Welcome to Astoria Ipanema Hotel, steps from Ipanema Beach.&nbsp;</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Expect a relaxed, beach-city vibe with a 24-hour gym, a rooftop for sunset views.&nbsp;</p></li>
  <li><p class=""font_8"">Spa: by appointment—book at reception.&nbsp;</p></li>
  <li><p class=""font_8"">Gym: open 24h.&nbsp;</p></li>
  <li><p class=""font_8"">Rooftop: Fri–Sun 1:00PM - 09:00PM</p></li>
  <li><p class=""font_8"">No pool, but you can ask for&nbsp;a beach kit at frontdesk (chair, towel...)</p></li>
</ul>
<h3 class=""font_3""><strong>Local Tips &amp; Essentials</strong></h3>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Hydration:</strong> Please note that bottled water in the hotel rooms is <strong>not complimentary</strong> and can be quite expensive.</p></li>
  <li><p class=""font_8""><strong>Money-Saving Tip:</strong> There is a <strong>Zona Sul Supermarket</strong> just a short walk away. We recommend stopping there to stock up on water and snacks at much lower prices.</p></li>
</ul>",Ross26,wix:image://v1/d6fbec_eb31e83ed65248de8b7b1adfd8485aec~mv2.jpeg/image-rio-de-janeiro-mar-ipanema-hotel-98.jpeg#originWidth=998&originHeight=665,Logistics
Enjoy Ipanema Beach,3,2026-02-27,"Our recommendation for today is to enjoy Ipanema Beach, located just two blocks from the hotel. If you want to explore a bit more, you can walk along Ipanema Beach until the Copacabana Fort and have a great view from this other famous beach, Copacabana! 

This activity is completely optional and can be done at your own pace.

Good to know:
– You can rent beach chairs and umbrellas directly on the sand or get them from the hotel
– Don’t leave your belongings unattended.
– Take advantage of the amazing variety of snacks, drinks, and other items sold right on the beach — you’ll find almost anything you can imagine!",15:00:00,Repo,"<p class=""font_8""><br></p>
<ul class=""font_8"">
  <li><p class=""font_8"">Copacabana Fort <a href=""https://maps.app.goo.gl/5nqsnWyB9sDofgN59""><u>location</u></a> - Open from Tuesday to Sunday, from 10am to 7pm. There is an entrance fee and it can be paid directly at the gate</p></li>
  <li><p class=""font_8"">Great restaurants around in Ipanema:</p><ul><li><p class=""font_8"">Babbo Osteria</p></li><li><p class=""font_8"">Teva Bistrô (Vegan)</p></li><li><p class=""font_8"">Zazá Bistrô Tropical</p></li><li><p class=""font_8"">Pope Ipanema</p></li></ul></li>
  </ul>
<p class=""font_8"">Some nice things to know</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Ipanema Beach Guide Ipanema Beach is one of Rio de Janeiro’s most iconic places, known worldwide for its natural beauty, vibrant atmosphere, and deep cultural influence.&nbsp;</p></li>
  <li><p class=""font_8"">Framed by the dramatic Dois Irmãos mountains and blessed with golden sand and turquoise water, Ipanema became famous in the 1960s with the bossa nova classic “The Girl from Ipanema.” Since then, it has remained a symbol of Rio’s relaxed lifestyle, breathtaking sunsets, and joyful beach culture.&nbsp;</p></li>
  <li><p class=""font_8"">How to Spend the Day at Ipanema Beach A day at Ipanema is simple, effortless, and full of local traditions. When you arrive, you don’t need to bring much: beach vendors and small stands called barracas provide almost everything. You can easily rent beach chairs and umbrellas, and most stands offer drinks, snacks, and even Wi-Fi.&nbsp;</p></li>
  <li><p class=""font_8"">The beach is divided into “postos,” numbered lifeguard stations that serve as reference points—each with its own personality and crowd.&nbsp;</p></li>
  <li><p class=""font_8"">Locals spend hours lounging in the sun, swimming, playing frescobol (a type of paddleball), or simply people-watching.&nbsp;</p></li>
  <li><p class=""font_8"">Just keep an eye on your belongings and bring only the essentials.&nbsp;</p></li>
  <li><p class=""font_8"">The Unique Beach Vendor Culture One of the most charming aspects of Ipanema is its vibrant vendor culture. You’ll see sellers walking up and down the sand offering almost everything you might crave. The most traditional items include: - Mate Gelado: A refreshing iced tea served from metal barrels, usually mixed with fresh lemon. - Biscoito Globo: A crunchy, airy snack made of cassava flour — a true Rio classic. - Queijo Coalho: Skewered Brazilian cheese grilled right in front of you, often served with oregano. - Açai bowls, fresh fruit, caipirinhas, coconut water, and a variety of local snacks. - Beach wraps, hats, sunglasses, and even massages.&nbsp;</p></li>
  <li><p class=""font_8"">This lively commerce is part of what makes the experience so special — you can spend the whole day enjoying the beach without ever needing to leave your chair.</p></li>
</ul>",Ross26,wix:image://v1/08ee93_365268b28422488b92e2f5b224a746e7~mv2.jpg/vista-praia-de-ipanema-rio-de-janeiro.jpg#originWidth=714&originHeight=720,Suggested
Welcome Happy Hour @ La Carioca En La Playa,4,2026-02-27,"05:00 PM | Kick-off at the beach bar La Carioca En La Playa
09:00 PM | Event concludes (perfect timing for dinner in Leblon).

Address: Av. Delfim Moreira, 117 – Posto 12, Leblon.

Good to know:
- Easy to walk from the hotel (10 min), or take Uber/taxi (5 min) — transportation not included.
- This is a beach bar, a typical spot where Cariocas end their week with a drink. Expect local barefoot–bikini vibes. It’s totally fine to come straight from the beach!
- Open bar included! (Caipirinha, beer, water, and soft drinks)
- There will be some Brazilian finger foods (dinner not included).
- We will also introduce our Parrot staff and share important information about the trip. You don't want to miss it!
- There are many great dinner options in the Leblon neighborhood that you can walk or Uber/taxi to after the happy hour.",17:00:00,Repo,"<p class=""font_8"">In Rio de Janeiro, the beach is almost an extension of home, a ritual woven into the city’s rhythm. On Fridays, as soon as work ends, cariocas head straight to the sand, already with flip-flops and bikinis in their bags, to watch the sun set behind the Dois Irmãos mountain at Ipanema Beach. There, surrounded by friends, music, an iced mate or a cold beer, everyone slows down together. It’s more than a habit: it’s a simple, shared celebration that marks the start of the weekend in the most quintessentially carioca way.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">We will experience some of this vibe as we welcome you to your first day in Brazil! We’ll be toasting at a beach bar right on the sand of Ipanema Beach while we watch the sunset. Feel free to wear whatever you like — even a bathing suit if you’d like to take a swim.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">You’ll have the chance to try our local drink, the Caipirinha, made with lime, sugar, and cachaça, as well as our local draft beer (we call it <em>chopp</em>). We’ll also have some typical Brazilian appetizers (with vegetarian and vegan options available). We’ll wrap things up around 7pm, once the sun goes down. From the bar, you can head straight to dinner if you’d like (see recommendations below) or return to the hotel.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">During the event, we’ll also share some important information about the trip. It’s a great opportunity to meet the Parrot staff who will be with you throughout your journey. Feel free to ask any questions, we’re here to host you in our amazing country!!</p>
<p class=""font_8""><br></p>
<p class=""font_8"">INCLUDED:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Open Bar (Caipirinha, Beer, soft drinks)</p></li>
  <li><p class=""font_8"">Brasilian Finger food</p></li>
</ul>
<p class=""font_8"">NOT INCLUDED:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Transportation</p></li>
  <li><p class=""font_8"">Dinner</p></li>
  <li><p class=""font_8"">Anything that is not metioned on the tour discription</p></li>
  <li><p class=""font_8"">Gratuities and tips</p></li>
</ul>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Dinner Suggestions near by:&nbsp;</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>CT Boucherie</strong> – A classic French-style steakhouse by chef Claude Troisgros. Famous for its perfectly cooked meats and the endless table-side “guarnições” (side dishes) that keep coming throughout the meal.</p></li>
  <li><p class=""font_8""><strong>Jobi</strong> – A beloved, lively Brazilian bar-restaurant that’s been a neighborhood icon for decades. Perfect for an authentic, casual carioca night with cold beer and delicious traditional food.</p></li>
  <li><p class=""font_8""><strong>Bráz Pizzaria</strong> – One of Rio’s best pizzerias, serving high-quality Neapolitan-style pizzas with Brazilian flair. Cozy, friendly, and perfect for a laid-back dinner.</p></li>
  <li><p class=""font_8""><strong>Sushi Leblon</strong> – One of Rio’s most iconic sushi restaurants. Trendy, always busy, and known for excellent fish quality, creative rolls, and a stylish atmosphere. A classic spot for sushi lovers.</p></li>
  <li><p class=""font_8""><strong>Nola</strong> – A cozy bistro with warm lighting and a contemporary menu inspired by international comfort food. Great cocktails, delicious small plates, and a relaxed, intimate vibe.</p></li>
  <li><p class=""font_8""><strong>Balcão 201</strong> – A modern bar-restaurant with a long counter (the “balcão”) where guests can enjoy cocktails, wines, and flavorful dishes. Lively but refined — good for drinks that turn into dinner.</p></li>
  <li><p class=""font_8""><strong>TT Burger</strong> – A casual and delicious Brazilian-style burger joint by chef Thomas Troisgros. Famous for its juicy burgers, sweet potato fries, and the iconic “milk de brigadeiro” milkshake.</p></li>
</ul>
<p class=""font_8"">Or&nbsp;</p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Bars on Rua Dias Ferreira:</strong></p>
<p class=""font_8"">Rua Dias Ferreira is one of Leblon’s liveliest streets — a true carioca hotspot. On Friday nights, locals gather here to drink, snack on Brazilian “petiscos,” and enjoy the buzzing, informal atmosphere. Expect people spilling onto the sidewalks, chatting, laughing, and enjoying live music. Very lively, very Rio. our favorites are:&nbsp;</p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Belmonte Bar</strong> – A classic Rio bar serving great draft beer (“chopp”), savory pastries, and lots of traditional snacks. Always busy, always fun.</p></li>
  <li><p class=""font_8""><strong>Boa Praça Bar</strong> – Trendy, open-air, and full of young locals. A great spot for cocktails, cold beer, and people-watching — often packed and energetic.</p></li>
  <li><p class=""font_8""><strong>Rainha</strong> – A popular botequim-style bar known for its relaxed vibe, affordable drinks, and tasty bar food. Very local, very authentic, and great for a casual night.</p></li>
</ul>",Ross26,wix:image://v1/08ee93_2b172e370be8445f9806e7fd98b771ac~mv2.jpg/477795577_602203619386447_5357425313557375628_n.jpg#originWidth=1080&originHeight=1080,Included
Our Rio Recommendations,5,2026-02-27,Here is our selection and recommendations of places for you to go and explore Rio during your free time!,,Planned,"<p class=""font_8""><br></p>
<h2 class=""font_2"">📍Do What Cariocas Do (By Bernardo)</h2>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Juice Bars:</strong> Stop at <strong>Polis Sucos</strong> for a very typical juice or açaí experience.</p></li>
  <li><p class=""font_8""><strong>Ice Cream:</strong> Grab a gelato at <strong>Bacio di Latte</strong>, located right in front of your hotel.</p></li>
  <li><p class=""font_8""><strong>Don’t eat shrimp at the beach:</strong> All other beach snacks are usually safe, but avoid the shrimp skewers.&nbsp;</p></li>
  <li><p class=""font_8""><strong>The ""Gringo"" term:</strong> Don't find it weird if you are called a ""Gringo"". In Brazil, it simply means ""foreigner""—it's not an insult!</p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">🍽️Restaurants Rio People Love</h2>
<p class=""font_8""><u><strong>Brazilian &amp; Steakhouses</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Casa da Feijoada:</strong> Best place to eat the traditional bean stew called <em>Feijoada</em>.</p></li>
  <li><p class=""font_8""><strong>Assador Rio’s:</strong> Premium steakhouse with views of Guanabara Bay.</p></li>
  <li><p class=""font_8""><strong>Braseiro da Gávea:</strong> Very local steakhouse — expect long lines.</p></li>
  <li><p class=""font_8""><strong>Pura Brasa:</strong> Excellent meat, one of the best and super casual. <u><em><strong>By Bernardo&nbsp;</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Paz e Amor:</strong> Simple, traditional, and perfect for a quick, cheap bite. <u><em><strong>By Bernardo</strong></em></u></p></li>
</ul>
<p class=""font_8""><u><strong>Japanese &amp; Asian Fusion</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Gurumê / San Omakase:</strong> High-level, innovative Japanese dining. <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Jappa da Quitanda:</strong> Another great and popular sushi option. <u><em><strong>By Bernardo</strong></em></u></p></li>
</ul>
<p class=""font_8""><u><strong>Italian (Fancier Options)</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Babbo, Nino, Posí, or Pici:</strong> All excellent Italian choices in the Ipanema/Leblon area. <u><em><strong>By Bernardo</strong></em></u></p></li>
</ul>
<p class=""font_8""><u><strong>Healthy &amp; Vegan</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Teva:</strong> The best vegan restaurant in Rio — highly recommended for everyone! <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Delírio Tropical:</strong> Great spot for fresh, healthy food. <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Nusa Café:</strong> Excellent for a healthy breakfast or brunch.<em> </em><u><em><strong>By Bernardo</strong></em></u></p></li>
</ul>
<p class=""font_8""><u><strong>Other Must-Trys</strong></u></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>La Carioca:</strong> Known for great ceviche (same vibe as our Welcome Event). <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Oro:</strong> 2-Michelin-star restaurant blending Brazilian roots with cutting-edge technique.</p></li>
  <li><p class=""font_8""><strong>TT Burger:</strong> Rio’s most famous gourmet burger.</p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">🍻Classic Bars Cariocas Always Go To</h2>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Boteco Belmonte (Ipanema):</strong> A classic Rio bar — cold draft beer and traditional snacks. <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Boteco Boa Praça (Ipanema):</strong> Another famous Rio bar, often with live music.</p></li>
  <li><p class=""font_8""><strong>Spirit Copa (Copacabana):</strong> Fancy and pricey venue with great food and impressive views of Copacabana.</p></li>
  <li><p class=""font_8""><strong>Bafo da Prainha (Center):</strong> Very local, roots bar near Pedra do Sal.</p></li>
  <li><p class=""font_8""><strong>VuVu Lounge (Botafogo):</strong> Innovative bar-lounge with Japanese–Peruvian fusion food, special gin-based cocktails, and live shows. Famous for <strong>forró on Tuesdays</strong> and <strong>parties on Fridays</strong>.</p></li>
  <li><p class=""font_8""><strong>Beco Das Garrafas: </strong>Entitled as the Bossa Nova birth place, live shows everyday</p></li>
</ul>
<p class=""font_8""><br></p>
<h6 class=""font_6"">Streets with Many Good Bars (Very Local)</h6>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Dias Ferreira Street (Leblon):</strong> Packed with bars and people; most popular at night.</p></li>
  <li><p class=""font_8""><strong>Rua do Senado (Center):</strong> Voted one of the “coolest streets in the world” by <em>Time Out</em>; best on Saturdays and Sundays.</p></li>
  <li><p class=""font_8""><strong>Arnaldo Quintela Street (Botafogo):</strong> One of the liveliest bar streets in the city.</p></li>
  <li><p class=""font_8""><strong>Nelson Mandela Street (Botafogo):</strong> Casual bars, football on TV, and a very local vibe.</p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">🛍️<strong>General Shopping</strong></h2>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Shopping Leblon:</strong> A sophisticated mall within walking distance. Great for well-known Brazilian brands. <u><em><strong>By Bernardo</strong></em></u></p></li>
  <li><p class=""font_8""><strong>Zona Sul Supermarket:</strong> Excellent grocery store. There are two very close to the hotel—perfect for buying water and snacks. <u><em><strong>By Bernardo</strong></em></u></p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">✨Taking the Time to Relax: Spas &amp; Massage</h2>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Fasano Hotel Spa:</strong> The best spa in the area and very close to our hotel. High-end experience and on the pricier side.<br>
<a href=""https://www.fasano.com.br/en/facilities/fasano-rio-de-janeiro-spa/"" rel=""noopener"" target=""_new"">https://www.fasano.com.br/en/facilities/fasano-rio-de-janeiro-spa/</a></p></li>
  <li><p class=""font_8""><strong>Buddha Spa (Ipanema):</strong> A great, more affordable option for massages and treatments.<br>
<a href=""https://buddhaspa.com.br/unidades/ipanema/"" rel=""noopener"" target=""_new"">https://buddhaspa.com.br/unidades/ipanema/</a><br>
<em>(Website is in Portuguese, but you can easily book via WhatsApp.)</em></p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">🏛️Touristing On Your Own</h2>
<p class=""font_8""><em>Great places you can visit without a guide.</em></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Botanical Garden (Jardim Botânico do Rio):</strong> A calm escape with towering imperial palms, orchids, and shaded paths — perfect for a mid-afternoon walk before evening plans.</p></li>
  <li><p class=""font_8""><strong>Museum of Tomorrow (Praça Mauá):</strong> A striking, future-focused science museum on the waterfront, with immersive exhibitions about the planet, sustainability, and our choices ahead.</p></li>
  <li><p class=""font_8""><strong>Parque Lage:</strong> Historic park at the foot of Corcovado with gardens, a mansion, and access to Tijuca Forest trails — great for photos, coffee, and an easy stroll.</p></li>
  <li><p class=""font_8""><strong>Parque das Ruínas (Santa Teresa):</strong> Open-air ruins with panoramic views over downtown Rio and Guanabara Bay, often hosting cultural events and exhibitions.</p></li>
  <li><p class=""font_8""><strong>Forte de Copacabana:</strong> Historic fort at the edge of Copacabana Beach with ocean views, small museums, and one of the best spots in the city for breakfast or coffee by the sea.</p></li>
  <li><p class=""font_8""><strong>Walking Ipanema &amp; Leblon Beaches:</strong> Walk the beachfront, explore side streets, stop for coconut water or coffee, and soak in everyday carioca life.</p></li>
</ul>
<p class=""font_8""><br></p>
<h2 class=""font_2"">What to do in Rio on a rainy day ☔️🌴</h2>
<p class=""font_8"">1. Visit the Museum of Tomorrow (Museu do Amanhã)&nbsp;</p>
<p class=""font_8"">🎟 Tickets: <a href=""https://bileto.sympla.com.br/event/114011/d/353321"">https://bileto.sympla.com.br/event/114011/d/353321</a></p>
<p class=""font_8""><br></p>
<p class=""font_8"">2. Go shopping at Shopping Leblon 🛍️</p>
<p class=""font_8"">&nbsp;📍 : <a href=""https://maps.app.goo.gl/UxBivJMr54yfhZdL9"">https://maps.app.goo.gl/UxBivJMr54yfhZdL9</a></p>
<p class=""font_8""><br></p>
<p class=""font_8"">3. Take shelter at a classic Rio bar 🍻 Like Belmonte or Boa Praça (both in Ipanema).</p>",Ross26,wix:image://v1/e340b3_3cf99d843ea44ff69b05fbef17bd9f4f~mv2.jpg/feira%20da%20gloria.jpg#originWidth=1086&originHeight=652,Suggested
Berbecue @ Bernardo's,6,2026-02-28,More details coming soon!,13:00:00,Repo,,Ross26,wix:image://v1/11062b_1df313c619eb4b44bb26f551a093ea0e~mv2.jpg/Barbecue%20Grill%20Fire.jpg#originWidth=4928&originHeight=3264,
Bike Tour,7,2026-03-01,"- Tour time is 3 hours. In total we bike around 2 hours.
- Includes: Bike – Helmet – Guide
 - Bring water!!
",9:00:00,Repo,"Pedal the beachfront cycle paths that link Copacabana and Ipanema—flat, scenic lanes made for an easy, sea-breeze ride (including the Arpoador stretch). Then cruise the multi-use path around Lagoa Rodrigo de Freitas, a near-level loop of about 7–7.7 km framed by hills and palm-lined shores. Expect postcard views and a relaxed pace on mostly dedicated bike lanes—an effortless way to tap into Rio’s everyday outdoor vibe.",Ross26,wix:image://v1/5c464c_99d349fbac0b4491812d35adfcea81a8~mv2.webp/IMG_9561%20(1).webp#originWidth=1428&originHeight=1071,Optional
Christ the Redeemer & Sugarloaf,8,2026-03-01,"07:30 AM | Departure from the Astoria Hotel Lobby.
01:00 PM | Estimated return to the hotel.

Places we will visit: Christ the Redeemer and the SugarLoaf. 

Good To know: 
- Bring a small day-pack with water, sunscreen, sunglasses, and a hat (or bucket hat).
- We recommend light, breathable clothing and comfortable walking shoes. There are a few steps and some walking involved at both sites.
- Hike opportunity: On our second stop, Sugarloaf, it's possible to do a 40 minutes hike up to the first hill (Urca) and from there get a cable car to the Sugarloaf mountain. 
- Check the forecast! If there is a chance of rain, we highly recommend bringing a light rain jacket.",7:30:00,Planned,"<p class=""font_8"">See Rio from its most iconic viewpoints! Visit the towering Christ the Redeemer and ride the Sugarloaf cable car for panoramic city views.</p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Christ the Redeemer &amp; Corcovado Train&nbsp;</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8"">We begin aboard the Corcovado rack railway, inaugurated in 1884 and electrified in 1910—the first electrified railroad in Brazil—climbing through Tijuca National Park to the 700 m summit.&nbsp;</p></li>
  <li><p class=""font_8"">At the top, you’ll meet the world-famous Art Deco statue, completed in 1931: 30 m tall (38 m including the pedestal), arms spanning 28 m, built of reinforced concrete with a soapstone veneer, designed and engineered by Heitor da Silva Costa (with Albert Caquot) and sculpted in part by Paul Landowski (face by Gheorghe Leonida).&nbsp;</p></li>
</ul>
<p class=""font_8""><strong>Sugarloaf (Pão de Açúcar) &amp; Cable Car&nbsp;</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8"">For our second stop, we head to Urca for the two-stage cable car: Praia Vermelha → Morro da Urca → Sugarloaf.&nbsp;</p></li>
  <li><p class=""font_8"">Rio’s cableway opened its first section in 1912 and is presented by the park as the oldest operating cable car in the world—two historic cabins (1912 and 1972) are on display at Cable Car Square.&nbsp;</p></li>
  <li><p class=""font_8"">Sugarloaf’s name dates to the 16th-century Portuguese sugar trade, when refined sugar was shipped in conical “loaves” whose shape the mountain resembles; the peak rises 396 m at the mouth of Guanabara Bay and is part of Rio’s UNESCO-listed landscape.&nbsp;</p></li>
  <li><p class=""font_8"">Each stop offers viewpoints, short walks, and cafés with bay-to-ocean panoramas.&nbsp;</p></li>
</ul>
<p class=""font_8"">INCLUDED:&nbsp;&nbsp;</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Tickets to Christ the redeemer train and entrance Fast Pass tickets to the Sugarloaf cable car and entrance&nbsp;&nbsp;</p></li>
  <li><p class=""font_8"">Tranportation&nbsp;</p></li>
</ul>
<p class=""font_8""><u>NOT INCLUDES</u>:&nbsp; Anything that is not metioned on the tour discription&nbsp;&nbsp;</p>",Ross26,wix:image://v1/5c464c_ed1255180692453c804a86dfbeee96bb~mv2.webp/PARROT%20TRIPS%202025_DIA%202_-22.webp#originWidth=2048&originHeight=1365,Included
Samba Party @ Bosque Bar,8.1,2026-03-01,"This is Rio's official Sunday party!  “Sambinha do Bosque” is a Sunday samba/pagode party with live acts and DJs. Samba and pagode are Brazilian music styles. 

Totally optional—join if you feel like it! 

There’s a TT Burger inside if you want a bite.",20:00:00,Planned,"<ul class=""font_8"">
  <li><p class=""font_8"">Bosque Bar — Sambinha do Bosque (8:00 PM) Bosque Bar is a venue inside the Jockey Club area in Gávea (Av. Bartolomeu Mitre, 1314). It's Sunday's official party place in Rio</p></li>
  <li><p class=""font_8"">It’s known for live music, DJs, easy access/parking, and a relaxed vibe—great for a casual night out.&nbsp;</p></li>
  <li><p class=""font_8"">How it works “Sambinha do Bosque” is a Sunday samba/pagode party with live acts and DJs. Samba and pagode are Brazilian music styles.&nbsp;</p></li>
  <li><p class=""font_8"">Doors open in the evening; for our group, we suggest 8:00 PM.&nbsp;</p></li>
  <li><p class=""font_8"">Expect standing areas with some lounge spots.&nbsp;</p></li>
  <li><p class=""font_8"">Tickets Buy online via Ingresse. Some listings require the digital ticket in the Ingresse app and note that late arrivals after door-closing may be denied entry—so plan to arrive on time..&nbsp;</p></li>
  <li><p class=""font_8"">Food &amp; drinks There’s TT Burger inside for a quick bite, plus a full bar.&nbsp;</p></li>
  <li><p class=""font_8"">Tips Bring a photo ID (events are typically 18+), dress casual, and consider ride-share for convenience.&nbsp;</p></li>
  <li><p class=""font_8"">If it sells out, door sales may close early.</p></li>
</ul>",Ross26,wix:image://v1/e340b3_8ce79096bd3540fa9e9ba89822e924fb~mv2.png/bosque%20bar.png#originWidth=750&originHeight=422,Suggested
Stand Up Paddle During Sunrise in Copacabana,9,2026-03-02,"Departure: 4:00 AM from hotel — please be on time!
Paddling time: from 4:40 to 5:40 (☀ Sunrise at 5:10 AM)
Estimates return time: 6:30am

Difficulty leve: Easy to moderate 
Visited places: Copacabana beach 

Good to know:
- Be on time at the meeting point
-There is a luggage storage but bring only the essential 
-Wear sunscreen, hat and sunglasses 
-Life jackets are mantory and will be provided by the crew 
",4:30:00,Repo,"Paddle the calm waters of Posto 6 by the Copacabana Fort—one of Rio’s classic SUP spots known for gentle conditions and scenic views. Sessions usually begin with a quick on-shore briefing on balance and paddling before you launch with an instructor nearby. Sunrise times are especially popular for smoother seas and softer light along Copacabana’s curve.

Included:
1 board per person
Luggage storage
Warm-up session
Paddling instruction
SUP equipment: life jacket, paddle, board
The tour takes place even in cloudy weather. In cases of rain, strong winds, high tide, or rough seas, the tour will be canceled and the activity fee refunded.",Ross26,wix:image://v1/5c464c_f45b992ec6894d808470365f72dc9f02~mv2.webp/edb07a4a-6a82-4ea0-a4d2-e33d0faaf218%20(1).webp#originWidth=1536&originHeight=2048,Optional
